lib_etendu,bilan,montant_signe,signe,num_oper,diff_ope_val
3447,21110,1561.93,0,4452,-1.0
421,21110,-1000.0,1,6109,4.0
5067,21110,-1552.21,1,7198,1.0
4213,21110,5000.0,0,7751,-1.0
916,21110,-10000.0,1,2445,1.0
5067,21110,-2664.7,1,564,1.0
4182,21110,5000.0,0,4615,0.0
4925,21110,4000.0,0,4495,0.0
4925,21110,10000.0,0,1216,0.0
4925,21110,1200.0,0,333,0.0
4391,21110,-132.96,1,1983,4.0
1121,21110,-4000.0,1,6223,0.0
2222,21110,-22.0,1,6223,0.0
3434,21110,-4000.0,1,477,0.0
3434,21110,-10000.0,1,2564,0.0
1508,21110,-1500.0,1,4468,1.0
3434,21110,-1200.0,1,2083,0.0
4394,21110,500.0,0,3753,0.0
4539,21110,-199.0,1,2512,0.0
4539,21110,-99.0,1,3965,0.0
4539,21110,-399.0,1,6038,0.0
4539,21110,-199.0,1,2323,0.0
1454,21110,-300.0,1,663,0.0
4735,21110,-6000.0,1,96,0.0
4899,21110,500.0,0,4788,0.0
2372,21110,-10000.0,1,287,1.0
957,21110,-1505.5,1,7451,4.0
957,21110,-1505.5,1,7250,4.0
1454,21110,-300.0,1,5765,0.0
3052,21110,-7306.61,1,3643,1.0
2356,21110,-5.5,1,7751,0.0
3447,21110,397.01,0,6417,-1.0
2902,21110,1500.0,0,369,-1.0
1731,21110,-200.0,1,2358,4.0
1858,21110,-2000.0,1,3163,4.0
3485,21110,-3500.0,1,7435,1.0
1362,21110,-249.0,1,4535,4.0
1362,21110,-124.0,1,7080,4.0
4583,21110,-405.45,1,3563,4.0
957,21110,-705.5,1,816,4.0
4372,21110,-3000.0,1,4866,0.0
4909,21110,6000.0,0,6590,-1.0
1362,21110,-99.0,1,7331,4.0
513,21110,-18000.0,1,4139,1.0
5067,21110,-839.74,1,1916,1.0
2712,21110,-2000.0,1,3812,4.0
2733,21110,2867.0,0,7696,-1.0
2870,21110,1553.58,0,6613,-1.0
4261,21110,-274.0,1,4150,4.0
2443,21110,43920.0,0,6753,0.0
4565,21110,15750.0,0,4755,0.0
2487,21110,-4000.0,1,2566,0.0
2377,21110,245241.33,0,21,0.0
262,21110,350000.0,0,1689,0.0
4747,21110,-328658.0,1,658,0.0
4747,21110,-11792.0,1,2816,0.0
4539,21110,-150.0,1,470,0.0
2700,21110,1600.01,0,7751,-1.0
3643,21110,1600.0,0,6133,0.0
5224,21110,-100.0,1,1930,1.0
3503,21110,-3200.0,1,7235,1.0
780,21110,2400.0,0,5595,0.0
874,21110,7800.0,0,6670,0.0
4993,21110,-597.0,1,3727,0.0
5067,21110,-1272.82,1,1424,1.0
53,21110,700.0,0,1506,-1.0
2902,21110,4000.0,0,3807,-1.0
5067,21110,-2463.53,1,4794,1.0
5067,21110,-2543.84,1,1178,1.0
5067,21110,-2242.18,1,5490,1.0
5067,21110,-1417.72,1,725,1.0
5224,21110,-200.0,1,4807,1.0
1173,21110,-1000.0,1,3,4.0
468,21110,-500.0,1,6412,4.0
120,21110,-2000.0,1,4118,4.0
5067,21110,-10254.59,1,160,1.0
44,21110,-330.0,1,5238,1.0
3750,21110,-15057.0,1,2514,1.0
5066,21110,5000.0,0,1678,-1.0
5224,21110,-300.0,1,1377,1.0
5224,21110,-200.0,1,5143,1.0
3653,21110,2000.0,0,2048,0.0
992,21110,-1500.0,1,1132,1.0
4497,21110,4040.0,0,4243,-1.0
4089,21110,-2000.0,1,722,0.0
142,21110,-1520.0,1,7674,1.0
3989,21110,-50.0,1,7047,4.0
2057,21110,-2000.0,1,7149,4.0
788,21110,-2000.0,1,788,1.0
5067,21110,-883.29,1,5563,1.0
2481,21110,-29.15,1,578,4.0
968,21110,-2000.0,1,5560,0.0
4596,21110,-5000.0,1,538,0.0
2222,21110,-22.0,1,538,0.0
3447,21110,9544.36,0,6768,-1.0
757,21110,-8000.0,1,265,4.0
3447,21110,3124.12,0,1239,-1.0
3447,21110,4832.07,0,5768,-1.0
3618,21110,-5000.0,1,5551,4.0
1944,21110,-165250.0,1,2963,0.0
5242,21110,165250.0,0,5705,0.0
3693,21110,-10000.0,1,3698,1.0
3676,21110,-165250.0,1,6269,0.0
1580,21110,-400.0,1,6474,0.0
2613,21110,-3300.0,1,2892,0.0
2718,21110,-2150.0,1,7357,0.0
5173,21110,-2000.0,1,7734,1.0
5067,21110,-1793.19,1,6511,1.0
248,21110,4000.0,0,7751,-1.0
3249,21110,-5000.0,1,5984,0.0
2222,21110,-22.0,1,5984,0.0
5067,21110,-1031.0,1,7055,1.0
1443,21110,-1000.0,1,6214,1.0
4241,21110,1350.0,0,7751,-1.0
5176,21110,-6000.0,1,987,0.0
2222,21110,-22.0,1,987,0.0
1224,21110,-2000.0,1,4445,1.0
551,21110,14000.0,0,5365,-1.0
3875,21110,-4200.0,1,5132,4.0
710,21110,-1000.0,1,7199,4.0
2400,21110,-1000.0,1,2617,4.0
4780,21110,-16.5,1,7751,1.0
5132,21110,-100.0,1,4803,4.0
4792,21110,-500.0,1,6898,1.0
4662,21110,-5000.0,1,1693,0.0
2222,21110,-22.0,1,1693,0.0
143,21110,3000.0,0,2010,-1.0
2225,21110,-5500.0,1,6321,0.0
1748,21110,1500.0,0,6872,-1.0
4117,21110,2500.0,0,3007,0.0
1571,21110,4355.0,0,6572,0.0
3847,21110,-4650.0,1,5800,1.0
4539,21110,-199.0,1,2657,0.0
1934,21110,-200.0,1,1176,1.0
4288,21110,500.0,0,3319,0.0
4288,21110,1500.0,0,136,0.0
5067,21110,-1023.44,1,3730,1.0
1958,21110,-1500.0,1,62,0.0
653,21110,450000.0,0,1570,0.0
4780,21110,-16.5,1,7751,1.0
4792,21110,-3000.0,1,2003,1.0
4747,21110,-3003.0,1,6724,0.0
1551,21110,-99.0,1,6679,0.0
3350,21110,-1000.0,1,6731,1.0
1454,21110,-300.0,1,916,0.0
1362,21110,-500.0,1,6738,4.0
1362,21110,-590.0,1,3409,4.0
4583,21110,-302.96,1,7716,4.0
4583,21110,-464.26,1,509,4.0
5067,21110,-10835.21,1,6003,1.0
2987,21110,-1500.0,1,6921,1.0
2009,21110,-55.0,1,7639,0.0
4202,21110,1500.0,0,2715,0.0
1831,21110,300.0,0,2440,0.0
4295,21110,-150.0,1,3148,0.0
2289,21110,-500.0,1,7067,0.0
4583,21110,-314.09,1,7437,4.0
507,21110,-1700.0,1,6396,4.0
933,21110,-1500.0,1,3399,0.0
3699,21110,35533.0,0,4956,-1.0
3523,21110,-0.73,1,5200,5.0
3523,21110,-0.93,1,6629,4.0
2065,21110,-0.9,1,113,4.0
5067,21110,-8278.44,1,3928,1.0
5045,21110,4200.0,0,7290,-1.0
4538,21110,-6500.0,1,5240,1.0
3651,21110,-5000.0,1,2173,4.0
4719,21110,-700.0,1,4592,4.0
5223,21110,-5000.0,1,2794,4.0
4539,21110,-229.0,1,6394,0.0
2887,21110,-1200.0,1,6108,1.0
1667,21110,2000.0,0,1007,-1.0
2428,21110,-300.0,1,131,1.0
3680,21110,200.0,0,7389,-1.0
274,21110,-5000.0,1,3107,4.0
4292,21110,-2000.0,1,2078,4.0
4292,21110,-400.0,1,7627,4.0
4750,21110,45000.0,0,485,-1.0
160,21110,2300.0,0,7118,-1.0
2699,21110,-34.52,1,1181,5.0
4241,21110,710.0,0,7751,-1.0
2294,21110,-2000.0,1,2416,4.0
5125,21110,-100.0,1,1781,4.0
4539,21110,-229.0,1,6773,0.0
4539,21110,-199.0,1,6947,0.0
2438,21110,-5000.0,1,6434,1.0
5067,21110,-11092.83,1,2023,1.0
5224,21110,-200.0,1,872,1.0
3989,21110,-100.0,1,3602,4.0
1347,21110,-22.0,1,984,0.0
957,21110,-705.5,1,7229,4.0
1079,21110,-2700.0,1,984,0.0
502,21110,3500.0,0,7595,-1.0
2902,21110,2000.0,0,3433,-1.0
4241,21110,10000.0,0,7751,-1.0
57,21110,60000.0,0,5902,-1.0
833,21110,-3000.0,1,6195,4.0
635,21110,180.0,0,7196,-1.0
635,21110,740.0,0,435,-1.0
635,21110,180.0,0,2532,-1.0
1362,21110,-99.0,1,7046,4.0
1362,21110,-99.0,1,494,4.0
4583,21110,-181.15,1,5719,4.0
2614,21110,20000.0,0,4789,-1.0
1785,21110,-225.0,1,4759,1.0
1172,21110,-500.0,1,4962,1.0
957,21110,-1505.5,1,1471,4.0
1255,21110,-2000.0,1,2673,0.0
1190,21110,5800.0,0,4267,-1.0
4341,21110,-1378.67,1,7138,1.0
957,21110,-355.5,1,1301,4.0
591,21110,18992.0,0,4218,-1.0
4514,21110,-1800.0,1,3786,4.0
3921,21110,1500.0,0,1027,0.0
4192,21110,2500.0,0,239,0.0
774,21110,-2499.0,1,7544,0.0
2222,21110,-22.0,1,7544,0.0
4823,21110,-2500.0,1,7399,1.0
4627,21110,-1500.0,1,158,1.0
2226,21110,-300.0,1,3728,4.0
2667,21110,-500.0,1,1298,4.0
5067,21110,-2502.12,1,2561,1.0
1362,21110,-227.8,1,2426,4.0
5028,21110,10000.0,0,638,-1.0
5067,21110,-10398.25,1,3095,1.0
4966,21110,34200.0,0,1802,-1.0
3374,21110,-3000.0,1,3691,4.0
5224,21110,-500.0,1,3742,1.0
1058,21110,-5700.0,1,385,1.0
1245,21110,450.0,0,2774,-1.0
2356,21110,-5.5,1,7751,0.0
2175,21110,5500.0,0,3501,-1.0
3767,21110,-500.0,1,5107,0.0
2222,21110,-22.0,1,5107,0.0
2009,21110,-55.0,1,2580,0.0
5224,21110,-4000.0,1,6035,1.0
4883,21110,-500.0,1,3923,4.0
5067,21110,-1237.06,1,3042,1.0
3478,21110,-1505.5,1,6619,4.0
831,21110,-300.0,1,1762,4.0
2521,21110,-1700.0,1,5985,4.0
533,21110,19585.0,0,629,-1.0
5067,21110,-8070.36,1,2153,1.0
1056,21110,-819.0,1,3369,1.0
5067,21110,-6253.06,1,6400,1.0
